VisitorID,Visits,PageViews,Hits,TotalHits,HitNumber,a_diffdays_latest,a_diffdays_oldest,Device,Sistema,Morning Visits,DaytimeVisits,Evening Visits,Midnight Visits,Goal1,Goal2,Goal3,Conversion
182,1,2,3,86,1,43,43,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
183,1,1,2,3,1,43,43,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
184,2,3,6,683,4,42,43,DESKTOP,WINDOWS,0,2,0,0,0,0,0,FALSE
185,1,1,2,1,1,43,43,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
186,12,14,28,2520,14,21,47,DESKTOP,WINDOWS,7,5,0,0,0,0,0,TRUE
187,2,2,4,2,2,43,43,DESKTOP,WINDOWS,0,2,0,0,2,0,0,FALSE
188,4,4,8,6,4,7,43,DESKTOP,WINDOWS,3,1,0,0,0,0,0,TRUE
189,1,1,1,1,1,43,43,DESKTOP,WINDOWS,0,0,0,1,0,0,0,FALSE
190,2,4,8,3142,4,43,43,DESKTOP,WINDOWS,0,1,1,0,2,0,0,FALSE
191,1,1,2,2,1,43,43,DESKTOP,WINDOWS,1,0,0,0,1,0,0,FALSE
192,1,1,2,1,2,43,43,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
193,5,13,26,1820,13,2,12,DESKTOP,WINDOWS,0,0,5,0,0,0,0,FALSE
194,1,1,2,1,1,2,2,DESKTOP,WINDOWS,0,1,0,0,0,0,0,TRUE
195,1,1,2,2,1,2,2,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
196,1,1,2,1,1,2,2,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
197,3,9,18,51,9,2,2,DESKTOP,WINDOWS,0,3,0,0,0,0,0,TRUE
198,1,1,2,3,1,2,2,DESKTOP,WINDOWS,0,0,1,0,1,0,0,FALSE
199,1,4,8,314,7,2,2,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
200,1,1,1,1,1,2,2,DESKTOP,WINDOWS,1,0,0,0,0,0,0,TRUE
201,1,1,2,1,1,2,2,TABLET,IOS,0,0,0,1,0,0,1,FALSE
202,1,1,2,1,1,2,2,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
203,1,1,2,3,1,2,2,TABLET,IOS,0,0,1,0,0,0,0,FALSE
204,1,1,2,1,1,2,2,DESKTOP,WINDOWS,0,0,0,1,0,0,0,FALSE
205,1,1,2,1,1,2,2,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
206,1,1,2,1,1,2,2,DESKTOP,WINDOWS,0,1,0,0,0,1,0,TRUE
207,3,9,21,408,14,2,2,DESKTOP,WINDOWS,3,0,0,0,0,0,0,FALSE
208,1,1,2,1,1,2,2,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
209,2,4,8,44,4,2,2,DESKTOP,WINDOWS,2,0,0,0,0,0,0,TRUE
210,1,1,2,1,1,2,2,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
211,1,1,1,1,1,2,2,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
212,1,1,2,4,1,2,2,DESKTOP,WINDOWS,0,0,0,1,0,0,0,FALSE
213,2,10,16,838,9,2,2,DESKTOP,WINDOWS,0,2,0,0,0,0,0,TRUE
214,1,1,2,1,1,2,2,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
215,1,1,2,2,1,2,2,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
216,1,1,2,3,1,2,2,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
217,1,1,2,1,1,2,2,DESKTOP,WINDOWS,0,0,0,1,0,0,0,FALSE
218,2,4,8,46,4,2,2,DESKTOP,WINDOWS,0,2,0,0,0,0,0,TRUE
219,1,1,2,3,1,2,2,DESKTOP,WINDOWS,0,1,0,0,0,0,0,TRUE
220,1,1,2,1,1,2,2,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
221,2,2,4,4,2,2,2,DESKTOP,WINDOWS,0,2,0,0,0,0,0,TRUE
222,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
223,1,3,6,324,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
224,1,1,2,6,1,36,36,DESKTOP,MAC-OS,0,1,0,0,0,0,0,FALSE
225,1,1,2,5,1,36,36,DESKTOP,WINDOWS,0,1,0,0,1,0,0,FALSE
226,1,1,2,1,1,36,36,DESKTOP,MAC-OS,1,0,0,0,0,0,0,FALSE
227,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
228,5,5,10,86,5,16,42,DESKTOP,WINDOWS,4,1,0,0,0,0,0,FALSE
